path,speaker_id,language_id,split,flag,filename
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010007/en/en_36214867.wav,id010007,en,train,1,en_36214867.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010007/en/en_36229669.wav,id010007,en,train,1,en_36229669.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010007/en/en_36229773.wav,id010007,en,train,1,en_36229773.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010007/en/en_36229893.wav,id010007,en,train,1,en_36229893.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010007/en/en_36229909.wav,id010007,en,train,1,en_36229909.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010007/en/en_36229989.wav,id010007,en,train,1,en_36229989.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010007/en/en_36230000.wav,id010007,en,train,1,en_36230000.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010007/en/en_36230112.wav,id010007,en,train,1,en_36230112.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010078/en/en_34933936.wav,id010078,en,train,1,en_34933936.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010078/en/en_34933937.wav,id010078,en,train,1,en_34933937.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010078/en/en_34934013.wav,id010078,en,train,1,en_34934013.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010078/en/en_34934021.wav,id010078,en,train,1,en_34934021.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010078/en/en_34934040.wav,id010078,en,train,1,en_34934040.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010078/en/en_34934083.wav,id010078,en,train,1,en_34934083.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010078/en/en_34934085.wav,id010078,en,train,1,en_34934085.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010078/en/en_34934129.wav,id010078,en,train,1,en_34934129.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010167/en/en_30420635.wav,id010167,en,train,1,en_30420635.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010167/en/en_30420636.wav,id010167,en,train,1,en_30420636.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010167/en/en_30420637.wav,id010167,en,train,1,en_30420637.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010167/en/en_30420645.wav,id010167,en,train,1,en_30420645.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010167/en/en_30420648.wav,id010167,en,train,1,en_30420648.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010167/en/en_30420649.wav,id010167,en,train,1,en_30420649.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010167/en/en_30420661.wav,id010167,en,train,1,en_30420661.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010167/en/en_30420663.wav,id010167,en,train,1,en_30420663.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010176/en/en_29310896.wav,id010176,en,train,1,en_29310896.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010176/en/en_29310898.wav,id010176,en,train,1,en_29310898.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010176/en/en_29310899.wav,id010176,en,train,1,en_29310899.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010176/en/en_29310900.wav,id010176,en,train,1,en_29310900.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010176/en/en_29310906.wav,id010176,en,train,1,en_29310906.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010176/en/en_29310907.wav,id010176,en,train,1,en_29310907.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010176/en/en_29310909.wav,id010176,en,train,1,en_29310909.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010176/en/en_29310910.wav,id010176,en,train,1,en_29310910.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010315/en/en_33188907.wav,id010315,en,train,1,en_33188907.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010315/en/en_33189202.wav,id010315,en,train,1,en_33189202.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010315/en/en_33189576.wav,id010315,en,train,1,en_33189576.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010315/en/en_33189642.wav,id010315,en,train,1,en_33189642.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010315/en/en_33189734.wav,id010315,en,train,1,en_33189734.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010315/en/en_33189784.wav,id010315,en,train,1,en_33189784.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010315/en/en_33189851.wav,id010315,en,train,1,en_33189851.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010315/en/en_33189862.wav,id010315,en,train,1,en_33189862.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010732/en/en_35206858.wav,id010732,en,train,1,en_35206858.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010732/en/en_35206859.wav,id010732,en,train,1,en_35206859.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010732/en/en_35206860.wav,id010732,en,train,1,en_35206860.wav
data/raw/TidyVoiceX_ASV/TidyVoiceX_Train/id010732/en/en_35206862.wav,id010732,en,train,1,en_35206862.wav
